,df,mse,p_value,se,t,theta,ID,ch_name,Chroma,Condition
46,22.384615384615383,8.009283196965137e-13,0.4168587750419877,2.52083761591255e-07,-0.9291788059352939,-2.7821295713623104e-07,7.0,S3_D4 hbr,hbr,Neutral
47,22.384615384615383,8.009283196965137e-13,0.2994461241390426,2.521341988946209e-07,-0.15316370212256977,-1.53509573592123e-07,7.0,S3_D4 hbr,hbr,Concern
48,22.384615384615383,3.4772942038436135e-11,0.3386859519452513,5.417761200451619e-07,-0.25005002133501253,8.65661668737546e-08,7.0,S4_D2 hbr,hbr,Neutral
49,22.384615384615383,3.4772942038436135e-11,0.5318218156876586,5.441499470730141e-07,0.06240437114255586,3.565563075768835e-08,7.0,S4_D2 hbr,hbr,Concern
50,22.384615384615383,4.156197310657991e-11,0.36547177921309115,6.580398197506565e-07,-0.4789002053798734,-2.538304786639557e-07,7.0,S4_D4 hbr,hbr,Neutral
51,22.384615384615383,4.156197310657991e-11,0.33673171646904837,6.580488719378708e-07,-0.28654346328874936,2.587398076891404e-07,7.0,S4_D4 hbr,hbr,Concern
52,22.384615384615383,3.2285776982132566e-12,0.4524786884419951,3.652249811934717e-07,-0.8953350733198365,-2.817336066166298e-07,7.0,S4_D5 hbr,hbr,Neutral
53,22.384615384615383,3.2285776982132566e-12,0.3402054090479564,3.656897021539181e-07,-0.021458191238136023,1.8754701400576893e-07,7.0,S4_D5 hbr,hbr,Concern
54,22.384615384615383,9.232580461620012e-13,0.3702740235676782,2.888892892160782e-07,-0.25800689471128446,-6.846179307091959e-08,7.0,S5_D3 hbr,hbr,Neutral
55,22.384615384615383,9.232580461620012e-13,0.38773124870888054,2.8887023388827897e-07,-0.6194292680726915,-1.1680992623035773e-07,7.0,S5_D3 hbr,hbr,Concern
56,22.384615384615383,7.879685399921251e-13,0.19730000167979808,2.656030105548667e-07,-1.49957726248773,-3.950284425604911e-07,7.0,S5_D4 hbr,hbr,Neutral
57,22.384615384615383,7.879685399921251e-13,0.31843574738139924,2.655957978949788e-07,-1.4376636465878174,-3.725547067351522e-07,7.0,S5_D4 hbr,hbr,Concern
58,22.384615384615383,1.419350287713596e-12,0.3964082068428888,3.658109955882698e-07,-0.13366927072260143,1.1286514900345781e-08,7.0,S5_D6 hbr,hbr,Neutral
59,22.384615384615383,1.419350287713596e-12,0.3283029970022731,3.6574337083106467e-07,-1.055047733811706,-2.9836102466778726e-07,7.0,S5_D6 hbr,hbr,Concern
60,22.384615384615383,8.350248091967937e-13,0.2651294454599119,2.654482631573138e-07,-0.9851167832167439,-2.9467376835578257e-07,7.0,S6_D4 hbr,hbr,Neutral
61,22.384615384615383,8.350248091967937e-13,0.30962859946088145,2.6547936767711835e-07,-0.8701793363826139,-2.59903883423086e-07,7.0,S6_D4 hbr,hbr,Concern
62,22.384615384615383,1.914780934574604e-12,0.4243486142733343,4.11621134938205e-07,-0.1062082575959963,2.4734812011639482e-08,7.0,S6_D6 hbr,hbr,Neutral
63,22.384615384615383,1.914780934574604e-12,0.23630013501842603,4.115292952291093e-07,-0.37957620523022967,-1.7819973244515001e-07,7.0,S6_D6 hbr,hbr,Concern
64,22.384615384615383,1.0426357846135527e-12,0.5762971135199753,2.851983637281393e-07,-0.3960668082067726,-9.754952947160281e-08,7.0,S7_D5 hbr,hbr,Neutral
65,22.384615384615383,1.0426357846135527e-12,0.3846642149513183,2.852015255206322e-07,0.05805333998386679,4.762848377952965e-08,7.0,S7_D5 hbr,hbr,Concern
66,22.384615384615383,2.1283273643889927e-12,0.48448287614710256,4.0392942473969976e-07,0.22135211314150374,7.087329667243941e-08,7.0,S7_D7 hbr,hbr,Neutral
67,22.384615384615383,2.1283273643889927e-12,0.2539010661795472,4.0423622529061006e-07,0.16043727240386985,1.440823050506505e-07,7.0,S7_D7 hbr,hbr,Concern
68,22.384615384615383,1.1117164854254577e-10,0.4506882784393281,1.1807304834584565e-06,0.3429867841951352,-9.256076626767357e-07,7.0,S8_D6 hbr,hbr,Neutral
69,22.384615384615383,1.1117164854254577e-10,0.3344986898366953,1.1853191332255477e-06,0.23584722633607044,-3.735685110208684e-07,7.0,S8_D6 hbr,hbr,Concern
70,22.384615384615383,1.0631681904048252e-12,0.2624017456013746,3.0593932567220607e-07,0.5633408629985578,5.644760746910478e-08,7.0,S8_D7 hbr,hbr,Neutral
71,22.384615384615383,1.0631681904048252e-12,0.13708657856318335,3.0590184437223056e-07,1.2475575156927636,2.8068031736259345e-07,7.0,S8_D7 hbr,hbr,Concern
